id,genre,track_name,artist_name,valence,energy
7hrDA2n8BVGLyHra0rBiFd,deep-house,Younger - Kygo Remix,Seinabo Sey,0.645,0.489
3Lai9DtLigm0h1oB7WhtUM,deep-house,Nothing Lasts Forever - Deep Club Mix,Tom Novy,0.164,0.614
1phWonB4eR5Juj1hrxgSXY,detroit-techno,Crackdown,Psyche,0.395,0.895
33Cj5VwTz9vpQqYW6C2CQd,detroit-techno,Milky Way,Model 500,0.568,0.869
5pG4I4SQfgGoZK9Clnz8v2,detroit-techno,On & On,Aril Brikha,0.373,0.841
0bI4V8H3eFSiDd3vUELTxE,detroit-techno,Rock To The Beat,Various Artists,0.508,0.689
5f9YwX8sOrbEtJ60IVBwAE,detroit-techno,On The Run,Moodymann,0.115,0.238
1nl09AjkuO7BBRF3BFAPsC,disco,Man in the Mirror - Remastered Version,Michael Jackson,0.264,0.813
2kBpsXKH2hCUDslEcvS0FK,disco,Don’t Stop The Party,Black Eyed Peas,0.72,0.746
5IWmU2PNimgYuTLddU2DRo,disco,Payphone,Maroon 5,0.556,0.744
7saZkffivQWqMz4oJe2d8k,disco,Love Hangover - Extended Alternate Version,Diana Ross,0.813,0.77
6D5pfooPP6hi99RaXjkDsP,disco,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,Lana Del Rey,0.114,0.813
2yi7HZrBOC4bMUSTcs4VK6,disney,"Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",Various Artists,0.166,0.121
3TcL0dyCMyr0kyTTc4NLgI,disney,Who Says,Selena Gomez & The Scene,0.744,0.927
2BZjNqu5mh47hdgq3Ow89n,disney,Dois Mundos (Two Worlds) - Edited,Various Artists,0.467,0.863
5mGI9cWHzNHGZG8RhzorWT,disney,We're All In This Together (Graduation Mix),High School Musical Cast,0.352,0.633
75a5fcQSduYyC93gXtgGhk,disney,Like Me,Various Artists,0.715,0.874
66sJkFFiyzm6dNg4MwySh0,drum-and-bass,Just Hold On,Camo & Krooked,0.291,0.992
3VPBqHUd17ZvEgabW9ZOUU,drum-and-bass,Ghost Assassin - Original Mix,Maduk,0.0798,0.923
53wlp8WZNCN4y4hz6LLwo8,drum-and-bass,Stories Can Wait - Original Mix,Submatik,0.298,0.849
0268MGXklaXKxAzN7OVZKX,drum-and-bass,Music Club,Chase & Status,0.368,0.942
5YBD6z33SdRjkDnNZLszHm,drum-and-bass,Born Again - Serial Killaz Mix,Rebel MC,0.793,0.94
7lftiY4q9jSBT1hPnwF2u5,dub,What Is Light? Where Is Laughter? (Skrillex Remix),Twin Atlantic,0.392,0.987
2jg42sFLPNhRZw3Cpb7tJ1,dub,Run For Cover (Instrumental Mix),CAZZETTE,0.175,0.746
0bFu1acVz49Y65ll0Fjred,dub,Seven Figure Swagger - Bar9 Rmx feat. Bar9,Foreign Beggars,0.0539,0.761
2Ee6aygbYBgjaAHauRPhvq,dub,Casablanca,Borgore,0.161,0.861
7mfI0rEPa99nLFyzr3Y9J0,dub,Ninur - Original Mix,Savant,0.544,0.907
3H25APFLbS8WnpcaTnKWnu,dubstep,Call Your Girlfriend - Feed Me Remix,Robyn,0.597,0.88
7ukoJwCNcdWagJp7pUdzTc,dubstep,Corner Of A Dark Room,Magnetic Man,0.027,0.957
7GL5G29n4eFF09RItmTW0C,dubstep,Alive - Pegboard Nerds Remix,Krewella,0.171,0.877
1bq55XhD67kXC3dBIrcwkK,dubstep,Its Bigger Than Hip Hop UK (Full Vocal Mix Explicit),WTF,0.222,0.974
34o2xJAVNTzoYN0o2Sd6sW,dubstep,Big Boss,Doctor P,0.0267,0.983
0cDtZgxBNJBmupoz5v84V6,edm,In The Horizon - Radio Edit,Various Artists,0.0841,0.957
4HRhCGyBhUSP9FIPvokPNL,edm,Dynamo,Various Artists,0.0866,0.906
76Qwq652kO20NZFjU4Ma8D,edm,Kuaga,Pierce Fulton,0.493,0.912
78upcMhaz0KEaZWGOsQzg0,edm,B4 the Dual,Benga,0.177,0.68
5kC6r4q71XMzsuLAYesseb,edm,You - Tiësto vs. Twoloud Radio Edit,Galantis,0.0936,0.918
5W9OWL9fs1FnTVuVJpjOV4,electro,Decisions,Borgore,0.558,0.911
6lUY6MoqGgPnA27PHYxem5,electro,Bulletproof,La Roux,0.682,0.882
66e6O0B9GmSRNAnzB0Bm74,electro,Heartbeats,The Knife,0.447,0.751
5BfleIMgLlfeqG5yqKyHz0,electro,Rattle - Original Mix,Various Artists,0.542,0.956
3LCS3m0N3rHiomapk8VQ5a,electro,We No Speak Americano - Original,Various Artists,0.474,0.693
25nzKGDiua1lE9Qo5V19GL,electronic,Young Blood,The Naked And Famous,0.358,0.865
4cDzTh5UFJyUrVbBhvYpXM,electronic,Mountain,Gold Panda,0.104,0.734
